Fall,College,Major Name,Term Code,Department,Major Code,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Asian,Legacy Advising Code,Legacy Department Code,Year Total,StudentsPerPop,StudentsPer100
1980,LAS,Plant Biology,0,0,0,31,18,13,0,25,0,0,0,0,0,0,6,0,0,3216,3216,21542,0.00143904930,0.14390493
1980,LAS,Political Science,0,0,343,46,29,17,1,34,0,1,2,0,0,0,8,0,0,3263,3263,21542,0.00213536348,0.213536348
1980,LAS,Psychology,0,0,338,160,86,74,1,126,5,9,1,0,0,0,18,0,0,6532,6532,21542,0.00742735122,0.742735122
1980,LAS,Slavic Languages & Literature,0,0,302,13,6,7,0,9,0,0,0,0,0,0,4,0,0,3268,3268,21542,0.00060347229,0.060347229
1980,LAS,Sociology,0,0,344,46,28,18,3,33,1,0,0,1,0,0,8,0,0,3269,3269,21542,0.00213536348,0.213536348
1980,LAS,Speech Communication,0,0,313,49,27,22,0,43,2,0,1,0,0,0,3,0,0,3274,3274,21542,0.00227462631,0.227462631
1980,LAS,TCH BIOL,0,0,0,17,6,11,0,16,0,0,1,0,0,0,0,0,0,3253,3253,21542,0.00078915607,0.078915607
1980,LAS,TCH ENGL,0,0,0,55,8,47,0,52,1,1,1,0,0,0,0,0,0,6450,6450,21542,0.00255315198,0.255315198
1980,LAS,TCH SOC ST,0,0,0,10,5,5,0,9,0,0,0,0,0,0,1,0,0,6500,6500,21542,0.00046420945,0.046420945
1980,LAS,TCH SPEECH,0,0,0,9,5,4,0,9,0,0,0,0,0,0,0,0,0,3274,3274,21542,0.00041778851,0.041778851
1980,LAS,UNCLASS,0,0,0,214,82,132,4,178,4,7,1,0,0,0,20,0,0,3201,3201,21542,0.00993408226,0.993408226
1980,LAS,Zoology,0,0,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,3227,3227,21542,0.00013926284,0.013926284
1980,Labor and Industrial Relations,LAB&IN REL,0,0,0,79,47,32,1,29,64,1,8,5,0,0,50,0,0,6010,6010,21542,0.00366725467,0.366725467
1980,Law,Law,0,0,0,639,468,171,2,578,1,22,10,1,0,0,25,0,0,9030,9030,21542,0.02966298394,2.966298394
1980,Media,Advertising,0,0,0,240,77,163,0,7,1,9,219,4,0,0,24,0,0,5606,5606,21542,0.01114102683,1.114102683
1980,Media,Communication,0,0,5164,27,12,15,0,7,0,0,20,0,0,0,17,0,0,2820,2820,21542,0.00125336552,0.125336552
