Subject,Number,Primary Instructor,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance,F_cum,D-_cum,D_cum,D+_cum,C-_cum,C_cum,C+_cum,B-_cum,B_cum,B+_cum,A-_cum,A_cum,A+_cum,25PCT,25_percent,75PCT,75_percent,12.5PCT,12.5_percent,87.5PCT,87.5_percent
PHIL,202,"Weaver, Christopher G",Symbolic Logic,8,7,5,4,3,2,0,2,0,0,3,0,3,0,37,3.054324324,0.832486943,8.108108108,8.108108108,16.21621622,16.21621622,16.21621622,21.62162162,21.62162162,27.02702703,35.13513514,45.94594595,59.45945946,78.37837838,100,B-_cum,2.67,A_cum,4,D_cum,1,A+_cum,4
PHIL,203,"Bohall, Jordan M",Ancient Philosophy,1,9,11,9,6,7,5,1,1,1,1,0,1,0,53,3.107169811,0.513573042,1.886792453,1.886792453,3.773584906,5.660377358,7.547169811,9.433962264,18.86792453,32.0754717,43.39622642,60.37735849,81.13207547,98.11320755,100,B-_cum,2.67,A-_cum,3.67,C+_cum,2.33,A_cum,4
PHIL,203,"Miller, Benjamin M",Ancient Philosophy,0,5,7,6,10,6,1,0,0,1,0,2,0,0,38,3.070789474,0.614586219,0,5.263157895,5.263157895,7.894736842,7.894736842,7.894736842,10.52631579,26.31578947,52.63157895,68.42105263,86.84210526,100,100,B-_cum,2.67,A-_cum,3.67,B-_cum,2.67,A_cum,4
PHIL,203,"Newton, Alexandra M",Ancient Philosophy,2,28,20,19,14,13,3,4,1,0,1,1,7,0,113,3.112477876,0.46694758,6.194690265,7.079646018,7.96460177,7.96460177,8.849557522,12.38938053,15.04424779,26.54867257,38.9380531,55.75221239,73.45132743,98.2300885,100,B-_cum,2.67,A_cum,4,C+_cum,2.33,A_cum,4
PHIL,203,"Rokosz, Steven D",Ancient Philosophy,1,4,12,11,10,14,6,3,0,0,0,0,0,1,61,3.082459016,0.301441494,0,0,0,0,0,4.918032787,14.75409836,37.70491803,54.09836066,72.13114754,91.80327869,98.36065574,100,B-_cum,2.67,A-_cum,3.67,C+_cum,2.33,A-_cum,3.67
PHIL,203,"Sanders, Kirk",Ancient Philosophy,1,45,56,47,67,70,28,39,32,6,15,6,21,4,433,2.673464203,0.679205487,4.849884527,6.23556582,9.699769053,11.08545035,18.47575058,27.48267898,33.94919169,50.11547344,65.58891455,76.44341801,89.37644342,99.76905312,100,C_cum,2,B+_cum,3.33,C-_cum,1.67,A-_cum,3.67
PHIL,203,"Wengert, Robert G",Ancient Philosophy,1,99,167,103,52,46,7,8,2,1,1,0,7,5,494,3.385991903,0.246570599,1.417004049,1.417004049,1.619433198,1.821862348,2.226720648,3.846153846,5.263157895,14.57489879,25.10121457,45.951417,79.75708502,99.79757085,100,B_cum,3,A-_cum,3.67,B-_cum,2.67,A_cum,4
PHIL,206,"Arana, Andrew P",Early Modern Philosophy,4,47,37,26,34,7,2,12,1,3,2,0,2,1,177,3.295932203,0.468978153,1.129943503,1.129943503,2.259887006,3.95480226,4.519774011,11.29943503,12.42937853,16.38418079,35.59322034,50.28248588,71.18644068,97.74011299,100,B_cum,3,A_cum,4,B-_cum,2.67,A_cum,4
PHIL,206,"Ben Moshe, Nir",Early Modern Philosophy,0,7,8,11,10,3,1,2,1,1,2,3,2,1,51,2.849803922,0.863057515,3.921568627,9.803921569,13.7254902,15.68627451,17.64705882,21.56862745,23.52941176,29.41176471,49.01960784,70.58823529,86.2745098,100,100,B-_cum,2.67,A-_cum,3.67,D_cum,1,A_cum,4
PHIL,206,"Cummins, Robert C",Early Modern Philosophy,8,16,22,20,26,16,12,10,4,4,4,0,2,0,144,2.972361111,0.608571778,1.388888889,1.388888889,4.166666667,6.944444444,9.722222222,16.66666667,25,36.11111111,54.16666667,68.05555556,83.33333333,94.44444444,100,B-_cum,2.67,A-_cum,3.67,C_cum,2,A_cum,4
PHIL,206,"Ellis, Addison C",Early Modern Philosophy,0,9,4,4,3,3,2,2,2,1,0,0,6,0,36,2.620555556,0.788758899,16.66666667,16.66666667,16.66666667,19.44444444,25,30.55555556,36.11111111,44.44444444,52.77777778,63.88888889,75,100,100,C_cum,2,A_cum,4,F_cum,0,A_cum,4
PHIL,206,"Melnick, Arthur",Early Modern Philosophy,9,15,19,17,6,7,0,1,0,0,0,0,0,0,74,3.527432432,0.210229894,0,0,0,0,0,1.351351351,1.351351351,10.81081081,18.91891892,41.89189189,67.56756757,87.83783784,100,B+_cum,3.33,A_cum,4,B_cum,3,A_cum,4
PHIL,206,"Newton, Alexandra M",Early Modern Philosophy,2,14,31,24,16,16,3,3,1,1,0,0,5,0,116,3.14137931,0.314797064,4.310344828,4.310344828,4.310344828,5.172413793,6.034482759,8.620689655,11.20689655,25,38.79310345,59.48275862,86.20689655,98.27586207,100,B_cum,3,A-_cum,3.67,B-_cum,2.67,A_cum,4
PHIL,206,"Weinberg, Shelley E",Early Modern Philosophy,3,72,70,85,106,56,20,16,3,5,3,6,10,3,455,3.087362637,0.443493966,2.197802198,3.516483516,4.175824176,5.274725275,5.934065934,9.450549451,13.84615385,26.15384615,49.45054945,68.13186813,83.51648352,99.34065934,100,B-_cum,2.67,A-_cum,3.67,C+_cum,2.33,A_cum,4
PHIL,210,"Alsup, Clayton",Ethics,2,15,11,8,3,11,2,2,2,1,0,0,0,0,57,3.275614035,0.507045676,0,0,0,1.754385965,5.263157895,8.771929825,12.28070175,31.57894737,36.84210526,50.87719298,70.1754386,96.49122807,100,B-_cum,2.67,A_cum,4,B-_cum,2.67,A_cum,4
PHIL,210,"Bojanowski, Jochen",Ethics,1,13,3,8,1,0,0,0,0,0,0,0,1,0,27,3.57962963,0.123442519,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,7.407407407,37.03703704,48.14814815,96.2962963,100,B+_cum,3.33,A_cum,4,B+_cum,3.33,A_cum,4
PHIL,210,"Spino, Joseph M",Ethics,2,23,18,11,6,2,3,0,1,0,0,0,0,0,66,3.555909091,0.260836295,0,0,0,0,1.515151515,1.515151515,6.060606061,9.090909091,18.18181818,34.84848485,62.12121212,96.96969697,100,B+_cum,3.33,A_cum,4,B_cum,3,A_cum,4
